time,c1,c2
0,2260.0,-2200.0
20,2220.0,-2270.0
40,2200.0,-2250.0
60,2180.0,-2290.0
80,2230.0,-2330.0
100,2190.0,-2320.0
120,2180.0,-2290.0
140,2160.0,-2390.0
160,2210.0,-2290.0
180,2170.0,-2240.0
200,2180.0,-2190.0
220,2170.0,-2220.0
240,2240.0,-2220.0
260,2240.0,-2270.0
280,2210.0,-2220.0
300,2240.0,-2300.0
320,2200.0,-2240.0
340,2170.0,-2260.0
360,2140.0,-2340.0
380,2170.0,-2290.0
400,2170.0,-2320.0
420,2150.0,-2290.0
440,2190.0,-2310.0
460,2210.0,-2250.0
480,2160.0,-2200.0
500,2130.0,-2300.0
520,2160.0,-2260.0
540,2120.0,-2250.0
560,2160.0,-2160.0
580,2130.0,-2230.0
600,2160.0,-2230.0
620,2170.0,-2280.0
640,2160.0,-2210.0
660,2210.0,-2290.0
680,2220.0,-2270.0
700,2140.0,-2220.0
720,2170.0,-2230.0
740,2250.0,-2240.0
760,2170.0,-2250.0
780,2150.0,-2250.0
800,2160.0,-2180.0
820,2140.0,-2260.0
840,2110.0,-2290.0
860,2140.0,-2290.0
880,2160.0,-2230.0
900,2230.0,-2240.0
920,2150.0,-2290.0
940,2190.0,-2290.0
960,2180.0,-2280.0
980,2160.0,-2280.0
1000,2120.0,-2190.0
1020,2160.0,-2290.0
1040,2180.0,-2300.0
1060,2220.0,-2210.0
1080,2160.0,-2230.0
1100,2180.0,-2270.0
1120,2170.0,-2230.0
1140,2150.0,-2150.0
1160,2180.0,-2240.0
1180,2140.0,-2290.0
1200,2160.0,-2320.0
1220,2240.0,-2290.0
1240,2180.0,-2310.0
1260,2140.0,-2310.0
1280,2170.0,-2340.0
1300,2150.0,-2350.0
1320,2180.0,-2290.0
1340,2190.0,-2230.0
1360,2230.0,-2220.0
1380,2180.0,-2270.0
1400,2220.0,-2300.0
1420,2130.0,-2290.0
1440,2140.0,-2300.0
1460,2210.0,-2260.0
1480,2220.0,-2230.0
1500,2100.0,-2210.0
1520,2150.0,-2140.0
1540,2190.0,-2160.0
1560,2200.0,-2230.0
1580,2150.0,-2220.0
1600,2180.0,-2290.0
1620,2170.0,-2270.0
1640,2190.0,-2280.0
1660,2150.0,-2270.0
1680,2200.0,-2170.0
1700,2170.0,-2200.0
1720,2150.0,-2300.0
1740,2170.0,-2240.0
1760,2150.0,-2230.0
1780,2110.0,-2290.0
1800,2140.0,-2280.0
1820,2180.0,-2280.0
1840,2130.0,-2290.0
1860,2120.0,-2300.0
1880,2160.0,-2270.0
1900,2240.0,-2290.0
1920,2140.0,-2210.0
1940,2130.0,-2220.0
1960,2170.0,-2210.0
1980,2200.0,-2250.0
2000,2130.0,-2230.0
2020,2140.0,-2310.0
2040,2180.0,-2300.0
2060,2190.0,-2250.0
2080,2180.0,-2240.0
2100,2150.0,-2220.0
2120,2160.0,-2270.0
2140,2180.0,-2240.0
2160,2190.0,-2300.0
2180,2160.0,-2270.0
2200,2130.0,-2310.0
2220,2200.0,-2280.0
2240,2250.0,-2250.0
2260,2140.0,-2190.0
2280,2170.0,-2240.0
2300,2190.0,-2240.0
2320,2150.0,-2190.0
2340,2180.0,-2170.0
2360,2190.0,-2170.0
2380,2180.0,-2270.0
2400,2160.0,-2180.0
2420,2150.0,-2220.0
2440,2120.0,-2210.0
2460,2140.0,-2220.0
2480,2180.0,-2190.0
2500,2180.0,-2190.0
2520,2110.0,-2220.0
2540,2170.0,-2270.0
2560,2170.0,-2180.0
2580,2140.0,-2250.0
2600,2110.0,-2310.0
2620,2150.0,-2290.0
2640,2210.0,-2280.0
2660,2200.0,-2260.0
2680,2140.0,-2310.0
2700,2180.0,-2340.0
2720,2200.0,-2290.0
2740,2120.0,-2300.0
2760,2090.0,-2220.0
2780,2170.0,-2270.0
2800,2170.0,-2160.0
2820,2110.0,-2150.0
2840,2160.0,-2250.0
2860,2150.0,-2300.0
2880,2180.0,-2240.0
2900,2120.0,-2290.0
2920,2210.0,-2310.0
2940,2180.0,-2260.0
2960,2220.0,-2170.0
2980,2170.0,-2170.0
3000,2200.0,-2370.0
3020,2160.0,-2330.0
3040,2180.0,-2250.0
3060,2130.0,-2260.0
3080,2130.0,-2310.0
3100,2130.0,-2280.0
3120,2210.0,-2200.0
3140,2210.0,-2240.0
3160,2160.0,-2310.0
3180,2190.0,-2260.0
3200,2160.0,-2280.0
3220,2170.0,-2370.0
3240,2200.0,-2330.0
3260,2120.0,-2380.0
3280,2140.0,-2330.0
3300,2150.0,-2360.0
3320,2130.0,-2340.0
3340,2120.0,-2320.0
3360,2120.0,-2260.0
3380,2230.0,-2190.0
3400,2150.0,-2290.0
3420,2070.0,-2190.0
3440,2160.0,-2290.0
3460,2200.0,-2250.0
3480,2150.0,-2280.0
3500,2140.0,-2190.0
3520,2110.0,-2150.0
3540,2150.0,-2200.0
3560,2140.0,-2270.0
3580,2140.0,-2250.0
3600,2120.0,-2300.0
3620,2190.0,-2200.0
3640,2220.0,-2250.0
3660,2130.0,-2250.0
3680,2160.0,-2290.0
3700,2200.0,-2240.0
3720,2180.0,-2250.0
3740,2200.0,-2280.0
3760,2110.0,-2320.0
3780,2200.0,-2360.0
3800,2170.0,-2320.0
3820,2200.0,-2270.0
3840,2220.0,-2270.0
3860,2200.0,-2220.0
3880,2240.0,-2220.0
3900,2170.0,-2200.0
3920,2100.0,-2250.0
3940,2170.0,-2290.0
