time,c1,q1,axis1_deg,c2,q2,axis2_deg
0,3920.0,0.949999988079071,40.0,-3490.0,0.949999988079071,120.0
20,3880.0,0.949999988079071,60.0,-3540.0,0.949999988079071,0.0
40,3830.0,0.8999999761581421,60.0,-3630.0,0.8999999761581421,120.0
60,3800.0,0.949999988079071,60.0,-3560.0,0.949999988079071,120.0
80,3820.0,0.949999988079071,60.0,-3610.0,0.949999988079071,140.0
100,3790.0,0.949999988079071,60.0,-3560.0,0.8999999761581421,40.0
120,3780.0,0.8999999761581421,40.0,-3560.0,0.949999988079071,140.0
140,3790.0,0.949999988079071,40.0,-3480.0,0.8999999761581421,120.0
160,3830.0,0.949999988079071,20.0,-3410.0,0.8999999761581421,120.0
180,3760.0,1.0,0.0,-3470.0,0.949999988079071,140.0
200,3810.0,0.8999999761581421,60.0,-3540.0,0.949999988079071,120.0
220,3830.0,0.949999988079071,60.0,-3460.0,0.949999988079071,120.0
240,3800.0,0.949999988079071,40.0,-3420.0,0.6499999761581421,0.0
260,3780.0,0.949999988079071,60.0,-3430.0,0.949999988079071,100.0
280,3810.0,0.949999988079071,40.0,-3500.0,0.8999999761581421,120.0
300,3850.0,0.949999988079071,20.0,-3590.0,0.8999999761581421,120.0
320,3850.0,0.949999988079071,60.0,-3590.0,0.949999988079071,100.0
340,3780.0,0.949999988079071,60.0,-3590.0,0.949999988079071,120.0
360,3710.0,1.0,0.0,-3590.0,0.75,20.0
380,3810.0,0.8999999761581421,60.0,-3620.0,0.8999999761581421,120.0
400,3850.0,0.8999999761581421,60.0,-3690.0,0.8999999761581421,120.0
420,3790.0,1.0,0.0,-3610.0,0.949999988079071,120.0
440,3790.0,0.949999988079071,40.0,-3590.0,0.8500000238418579,20.0
460,3760.0,0.949999988079071,40.0,-3610.0,0.949999988079071,120.0
480,3840.0,0.949999988079071,60.0,-3570.0,0.8999999761581421,120.0
500,3830.0,0.949999988079071,0.0,-3570.0,0.949999988079071,60.0
520,3750.0,0.949999988079071,60.0,-3630.0,0.949999988079071,60.0
540,3770.0,0.949999988079071,60.0,-3540.0,0.949999988079071,120.0
560,3870.0,0.949999988079071,40.0,-3660.0,0.8500000238418579,120.0
580,3850.0,0.949999988079071,60.0,-3610.0,0.550000011920929,0.0
600,3830.0,0.949999988079071,40.0,-3570.0,0.949999988079071,120.0
620,3870.0,0.949999988079071,60.0,-3530.0,0.550000011920929,0.0
640,3770.0,0.949999988079071,40.0,-3580.0,0.949999988079071,120.0
660,,,,,,
680,3800.0,0.949999988079071,60.0,-3570.0,0.949999988079071,140.0
700,3780.0,0.949999988079071,60.0,-3520.0,0.8999999761581421,120.0
720,3810.0,0.8999999761581421,40.0,-3440.0,0.699999988079071,0.0
740,3780.0,0.8999999761581421,60.0,-3480.0,0.8999999761581421,100.0
760,3770.0,0.8999999761581421,60.0,-3610.0,0.949999988079071,120.0
780,3850.0,0.949999988079071,20.0,-3600.0,0.8999999761581421,120.0
800,3770.0,0.8999999761581421,60.0,-3570.0,0.949999988079071,140.0
820,3780.0,0.949999988079071,20.0,-3450.0,0.8999999761581421,120.0
840,3720.0,0.949999988079071,60.0,-3360.0,0.8999999761581421,120.0
860,3750.0,0.949999988079071,60.0,-3470.0,0.8999999761581421,100.0
880,3790.0,0.8999999761581421,40.0,-3440.0,0.800000011920929,0.0
900,3760.0,1.0,0.0,-3450.0,0.8999999761581421,100.0
920,3830.0,0.8999999761581421,40.0,-3590.0,0.8999999761581421,120.0
940,3780.0,1.0,0.0,-3540.0,0.949999988079071,80.0
960,3780.0,1.0,0.0,-3570.0,0.949999988079071,120.0
980,3780.0,0.8999999761581421,60.0,-3570.0,0.949999988079071,60.0
1000,3860.0,0.949999988079071,60.0,-3510.0,0.8999999761581421,140.0
1020,3870.0,0.949999988079071,40.0,-3550.0,0.949999988079071,120.0
1040,3890.0,0.949999988079071,0.0,-3470.0,0.949999988079071,160.0
1060,3840.0,0.949999988079071,60.0,-3570.0,0.8999999761581421,80.0
1080,3790.0,0.949999988079071,40.0,-3580.0,0.8999999761581421,120.0
1100,3770.0,1.0,0.0,-3590.0,0.8999999761581421,100.0
1120,3730.0,0.949999988079071,60.0,-3610.0,0.6000000238418579,0.0
1140,3770.0,0.949999988079071,60.0,-3630.0,0.75,0.0
1160,3800.0,0.949999988079071,80.0,-3610.0,0.8999999761581421,160.0
1180,3830.0,0.949999988079071,40.0,-3590.0,0.949999988079071,120.0
1200,3750.0,0.949999988079071,40.0,-3650.0,0.8999999761581421,120.0
1220,3840.0,0.8999999761581421,60.0,-3610.0,1.0,0.0
1240,3860.0,0.949999988079071,60.0,-3600.0,0.8999999761581421,120.0
1260,3780.0,0.949999988079071,40.0,-3630.0,0.8999999761581421,120.0
1280,3750.0,0.949999988079071,80.0,-3640.0,1.0,0.0
1300,3760.0,0.8999999761581421,40.0,-3620.0,0.949999988079071,20.0
1320,3800.0,0.949999988079071,80.0,-3550.0,0.550000011920929,0.0
1340,3810.0,0.949999988079071,20.0,-3550.0,0.550000011920929,0.0
1360,3830.0,0.949999988079071,60.0,-3410.0,0.8999999761581421,60.0
1380,3750.0,0.949999988079071,80.0,-3450.0,0.949999988079071,100.0
1400,3780.0,1.0,0.0,-3370.0,0.949999988079071,20.0
1420,3760.0,0.949999988079071,60.0,-3450.0,0.8999999761581421,120.0
1440,3800.0,0.8999999761581421,60.0,-3470.0,0.800000011920929,140.0
1460,3870.0,0.949999988079071,60.0,-3530.0,0.949999988079071,140.0
1480,3790.0,0.949999988079071,60.0,-3500.0,0.8999999761581421,120.0
1500,3720.0,0.949999988079071,60.0,-3530.0,0.949999988079071,20.0
1520,3750.0,0.949999988079071,60.0,-3510.0,0.8500000238418579,20.0
1540,3830.0,0.949999988079071,60.0,-3450.0,0.8500000238418579,120.0
1560,3760.0,0.8999999761581421,40.0,-3520.0,0.949999988079071,120.0
1580,3780.0,0.949999988079071,60.0,-3510.0,0.8999999761581421,120.0
1600,3780.0,0.949999988079071,60.0,-3550.0,0.8999999761581421,100.0
1620,3800.0,0.949999988079071,60.0,-3500.0,0.8500000238418579,20.0
1640,3750.0,0.949999988079071,80.0,-3460.0,0.949999988079071,120.0
1660,3760.0,0.949999988079071,40.0,-3590.0,0.949999988079071,140.0
1680,3760.0,0.949999988079071,60.0,-3570.0,0.8999999761581421,120.0
1700,3850.0,0.949999988079071,60.0,-3500.0,0.5,0.0
1720,3720.0,0.949999988079071,60.0,-3530.0,0.8999999761581421,120.0
1740,3760.0,0.8999999761581421,20.0,-3510.0,0.949999988079071,20.0
1760,3800.0,0.949999988079071,40.0,-3580.0,0.550000011920929,0.0
1780,3860.0,1.0,0.0,-3680.0,0.8500000238418579,20.0
1800,3800.0,1.0,0.0,-3660.0,0.8999999761581421,140.0
1820,3760.0,1.0,0.0,-3640.0,0.5,0.0
1840,3770.0,0.8999999761581421,60.0,-3540.0,0.949999988079071,20.0
1860,3830.0,0.949999988079071,80.0,-3600.0,0.949999988079071,120.0
1880,3830.0,0.8999999761581421,40.0,-3550.0,0.949999988079071,120.0
1900,3760.0,0.949999988079071,60.0,-3470.0,0.949999988079071,80.0
1920,3820.0,0.8999999761581421,60.0,-3430.0,0.8999999761581421,120.0
1940,3810.0,0.949999988079071,60.0,-3500.0,0.949999988079071,100.0
1960,3790.0,1.0,0.0,-3460.0,0.550000011920929,0.0
1980,3910.0,1.0,0.0,-3570.0,0.949999988079071,120.0
2000,3830.0,0.949999988079071,60.0,-3500.0,0.949999988079071,100.0
2020,3810.0,0.949999988079071,40.0,-3530.0,0.949999988079071,80.0
2040,3740.0,0.949999988079071,20.0,-3590.0,0.8999999761581421,120.0
2060,3700.0,0.949999988079071,60.0,-3590.0,0.8999999761581421,100.0
2080,3790.0,1.0,40.0,-3570.0,0.949999988079071,120.0
2100,3750.0,0.949999988079071,40.0,-3560.0,0.949999988079071,100.0
2120,3830.0,1.0,0.0,-3490.0,0.8999999761581421,140.0
2140,3750.0,0.949999988079071,60.0,-3480.0,0.949999988079071,120.0
2160,3700.0,0.949999988079071,40.0,-3570.0,0.8999999761581421,120.0
2180,3680.0,0.949999988079071,60.0,-3520.0,0.8999999761581421,140.0
2200,3770.0,0.949999988079071,40.0,-3480.0,0.8999999761581421,100.0
2220,3710.0,1.0,0.0,-3490.0,0.8500000238418579,120.0
2240,3730.0,0.949999988079071,80.0,-3620.0,0.949999988079071,140.0
2260,3740.0,0.949999988079071,80.0,-3580.0,0.6000000238418579,0.0
2280,3750.0,0.949999988079071,60.0,-3570.0,0.949999988079071,0.0
2300,3740.0,0.8999999761581421,20.0,-3470.0,0.8500000238418579,120.0
2320,3770.0,0.949999988079071,40.0,-3540.0,0.8500000238418579,160.0
2340,3810.0,0.949999988079071,60.0,-3550.0,0.8999999761581421,120.0
2360,3790.0,0.949999988079071,80.0,-3610.0,0.949999988079071,120.0
2380,3740.0,0.949999988079071,60.0,-3610.0,0.550000011920929,0.0
2400,3820.0,0.949999988079071,40.0,-3550.0,0.949999988079071,120.0
2420,3750.0,0.949999988079071,60.0,-3660.0,0.949999988079071,80.0
2440,3800.0,1.0,0.0,-3560.0,0.8500000238418579,120.0
2460,3820.0,1.0,0.0,-3560.0,0.949999988079071,140.0
2480,3850.0,0.949999988079071,60.0,-3660.0,0.949999988079071,120.0
2500,3770.0,0.949999988079071,40.0,-3560.0,0.949999988079071,100.0
2520,3710.0,0.8999999761581421,60.0,-3580.0,0.8500000238418579,120.0
2540,3770.0,1.0,0.0,-3600.0,0.699999988079071,160.0
2560,3760.0,0.949999988079071,60.0,-3570.0,0.8999999761581421,140.0
2580,3750.0,0.949999988079071,40.0,-3510.0,0.949999988079071,120.0
2600,3720.0,0.949999988079071,40.0,-3570.0,0.949999988079071,80.0
2620,3710.0,0.949999988079071,60.0,-3580.0,0.8500000238418579,120.0
2640,3790.0,0.949999988079071,40.0,-3570.0,0.8999999761581421,120.0
2660,3770.0,0.949999988079071,40.0,-3630.0,0.6499999761581421,0.0
2680,3710.0,0.949999988079071,0.0,-3570.0,0.949999988079071,120.0
2700,3740.0,0.949999988079071,60.0,-3510.0,0.949999988079071,20.0
2720,3750.0,0.949999988079071,60.0,-3540.0,0.8999999761581421,120.0
2740,3790.0,0.949999988079071,20.0,-3570.0,0.8999999761581421,120.0
2760,3770.0,0.949999988079071,20.0,-3570.0,0.8999999761581421,140.0
2780,3770.0,0.949999988079071,60.0,-3640.0,0.949999988079071,100.0
2800,3780.0,0.949999988079071,60.0,-3580.0,0.8999999761581421,140.0
2820,3780.0,0.949999988079071,40.0,-3430.0,0.949999988079071,120.0
2840,3730.0,1.0,0.0,-3490.0,0.8999999761581421,100.0
2860,3680.0,0.949999988079071,40.0,-3390.0,0.8500000238418579,120.0
2880,3790.0,0.949999988079071,60.0,-3460.0,0.949999988079071,100.0
2900,3770.0,0.8999999761581421,40.0,-3420.0,0.949999988079071,120.0
2920,3700.0,1.0,0.0,-3530.0,0.949999988079071,100.0
2940,3770.0,0.949999988079071,80.0,-3550.0,0.949999988079071,0.0
2960,3870.0,0.8999999761581421,40.0,-3560.0,0.949999988079071,60.0
2980,3810.0,0.949999988079071,60.0,-3460.0,0.699999988079071,160.0
3000,3790.0,0.949999988079071,40.0,-3550.0,0.8500000238418579,120.0
3020,3770.0,1.0,140.0,-3610.0,0.949999988079071,20.0
