time,c1,c2
4620,2060.0,-2360.0
4640,2040.0,-2370.0
4660,1930.0,-2360.0
4680,1990.0,-2300.0
4700,2020.0,-2320.0
4720,2000.0,-2290.0
4740,2040.0,-2200.0
4760,2040.0,-2190.0
4780,2050.0,-2250.0
4800,2090.0,-2260.0
4820,2150.0,-2330.0
4840,2190.0,-2290.0
4860,2180.0,-2240.0
4880,2130.0,-2240.0
4900,2080.0,-2240.0
4920,2070.0,-2260.0
4940,2020.0,-2150.0
4960,2000.0,-2110.0
4980,2020.0,-2170.0
5000,2130.0,-2280.0
5020,2080.0,-2300.0
5040,2060.0,-2310.0
5060,2080.0,-2290.0
5080,2040.0,-2280.0
5100,2040.0,-2330.0
5120,2030.0,-2290.0
5140,2020.0,-2260.0
5160,2000.0,-2300.0
5180,2000.0,-2290.0
5200,2030.0,-2270.0
5220,1910.0,-2280.0
5240,1980.0,-2340.0
5260,1980.0,-2360.0
5280,1970.0,-2290.0
5300,1920.0,-2260.0
5320,1890.0,-2370.0
5340,1830.0,-2450.0
5360,1820.0,-2420.0
5380,1860.0,-2460.0
5400,1800.0,-2500.0
5420,1790.0,-2480.0
5440,1780.0,-2390.0
5460,1820.0,-2480.0
5480,1780.0,-2440.0
5500,2140.0,-2320.0
5520,2160.0,-2360.0
5540,2180.0,-2310.0
5560,2110.0,-2240.0
5580,2070.0,-2290.0
5600,2120.0,-2290.0
5620,2090.0,-2310.0
5640,2040.0,-2320.0
5660,1990.0,-2330.0
5680,2000.0,-2390.0
5700,1970.0,-2450.0
5720,2020.0,-2470.0
5740,2070.0,-2510.0
5760,2070.0,-2540.0
5780,2080.0,-2620.0
5800,2110.0,-2620.0
5820,2130.0,-2600.0
5840,2150.0,-2570.0
5860,2100.0,-2550.0
5880,2020.0,-2530.0
5900,2000.0,-2490.0
5920,2000.0,-2490.0
5940,2030.0,-2580.0
5960,2090.0,-2580.0
5980,2060.0,-2620.0
6000,2130.0,-2250.0
6020,2160.0,-2310.0
6040,2120.0,-2190.0
6060,2210.0,-2150.0
6080,2100.0,-2240.0
6100,2130.0,-2210.0
6120,2060.0,-2180.0
6140,2090.0,-2240.0
6160,2010.0,-2240.0
6180,2120.0,-2300.0
6200,2100.0,-2370.0
6220,2120.0,-2350.0
6240,2140.0,-2280.0
6260,2030.0,-2300.0
6280,1960.0,-2240.0
6300,1920.0,-2290.0
6320,1950.0,-2340.0
6340,1920.0,-2370.0
6360,1990.0,-2400.0
