time,c1,c2
0,2290.0,-1990.0
20,2240.0,-2030.0
40,2320.0,-2000.0
60,2310.0,-2060.0
80,2250.0,-2010.0
100,2270.0,-2070.0
120,2230.0,-2040.0
140,2260.0,-2070.0
160,2280.0,-2080.0
180,2290.0,-2080.0
200,2260.0,-2010.0
220,2310.0,-1980.0
240,2250.0,-1980.0
260,2270.0,-2020.0
280,2340.0,-2040.0
300,2320.0,-1990.0
320,2300.0,-2060.0
340,2250.0,-1980.0
360,2160.0,-2010.0
380,2220.0,-2040.0
400,2260.0,-2050.0
420,2270.0,-2060.0
440,2360.0,-2090.0
460,2360.0,-2100.0
480,2370.0,-2100.0
500,2300.0,-2120.0
520,2300.0,-2160.0
540,2340.0,-2170.0
560,2310.0,-2120.0
580,2380.0,-2170.0
600,2350.0,-2220.0
620,2270.0,-2140.0
640,2360.0,-2130.0
660,2330.0,-2110.0
680,2300.0,-2120.0
700,2300.0,-2110.0
720,2280.0,-2060.0
740,2280.0,-2180.0
760,2340.0,-2140.0
780,2270.0,-2080.0
800,2250.0,-2100.0
820,2330.0,-2200.0
840,2260.0,-2150.0
860,2300.0,-2170.0
880,2270.0,-2140.0
900,2290.0,-2210.0
920,2340.0,-2170.0
940,2340.0,-2140.0
960,2300.0,-2150.0
980,2320.0,-2210.0
1000,2250.0,-2160.0
1020,2250.0,-2140.0
1040,2310.0,-2120.0
1060,2330.0,-2180.0
1080,2320.0,-2120.0
1100,2280.0,-2100.0
1120,2300.0,-2080.0
1140,2340.0,-2190.0
1160,2280.0,-2140.0
1180,2250.0,-2120.0
1200,2300.0,-2080.0
1220,2290.0,-2200.0
1240,2300.0,-2190.0
1260,2280.0,-2190.0
1280,2260.0,-2110.0
1300,2310.0,-2130.0
1320,2330.0,-2130.0
1340,2280.0,-2170.0
1360,2330.0,-2140.0
1380,2270.0,-2170.0
1400,2230.0,-2170.0
1420,2210.0,-2170.0
1440,2180.0,-2140.0
1460,2210.0,-2210.0
1480,2280.0,-2170.0
1500,2250.0,-2110.0
1520,2290.0,-2210.0
1540,2340.0,-2180.0
1560,2280.0,-2190.0
1580,2230.0,-2130.0
1600,2240.0,-2150.0
1620,2260.0,-2140.0
1640,2250.0,-2150.0
1660,2260.0,-2150.0
1680,2240.0,-2230.0
1700,2290.0,-2170.0
1720,2210.0,-2180.0
1740,2270.0,-2150.0
1760,2260.0,-2260.0
1780,2290.0,-2130.0
1800,2320.0,-2080.0
1820,2240.0,-2150.0
1840,2210.0,-2170.0
1860,2280.0,-2130.0
1880,2290.0,-2140.0
1900,2250.0,-2150.0
1920,2270.0,-2160.0
1940,2260.0,-2150.0
1960,2300.0,-2140.0
1980,2350.0,-2130.0
2000,2260.0,-2190.0
2020,2270.0,-2200.0
2040,2300.0,-2110.0
2060,2320.0,-2160.0
2080,2290.0,-2190.0
2100,2220.0,-2150.0
2120,2210.0,-2120.0
2140,2270.0,-2150.0
2160,2250.0,-2170.0
2180,2300.0,-2150.0
2200,2350.0,-2200.0
2220,2270.0,-2180.0
2240,2280.0,-2180.0
2260,2260.0,-2180.0
2280,2230.0,-2120.0
2300,2250.0,-2190.0
2320,2230.0,-2230.0
2340,2320.0,-2170.0
2360,2220.0,-2150.0
2380,2230.0,-2180.0
2400,2200.0,-2190.0
2420,2270.0,-2190.0
2440,2230.0,-2180.0
2460,2260.0,-2240.0
2480,2230.0,-2210.0
2500,2350.0,-2150.0
2520,2220.0,-2130.0
2540,2270.0,-2200.0
2560,2250.0,-2120.0
2580,2300.0,-2160.0
2600,2220.0,-2110.0
