time,c1,c2
0,2230.0,-2130.0
20,2230.0,-2130.0
40,2170.0,-2160.0
60,2220.0,-2160.0
80,2230.0,-2160.0
100,2250.0,-2190.0
120,2190.0,-2170.0
140,2200.0,-2220.0
160,2220.0,-2160.0
180,2230.0,-2140.0
200,2180.0,-2160.0
220,2210.0,-2100.0
240,2270.0,-2130.0
260,2240.0,-2140.0
280,2230.0,-2190.0
300,2240.0,-2130.0
320,2260.0,-2050.0
340,2220.0,-2080.0
360,2310.0,-2110.0
380,2290.0,-2070.0
400,2280.0,-2090.0
420,2300.0,-2160.0
440,2250.0,-2110.0
460,2220.0,-2170.0
480,2300.0,-2090.0
500,2250.0,-2110.0
520,2220.0,-2210.0
540,2260.0,-2190.0
560,2290.0,-2160.0
580,2260.0,-2110.0
600,2240.0,-2180.0
620,2210.0,-2150.0
640,2250.0,-2200.0
660,2220.0,-2090.0
680,2230.0,-2160.0
700,2220.0,-2130.0
720,2240.0,-2130.0
740,2270.0,-2150.0
760,2220.0,-2200.0
780,2240.0,-2080.0
800,2280.0,-2120.0
820,2280.0,-2150.0
840,2220.0,-2210.0
860,2240.0,-2130.0
880,2240.0,-2070.0
900,2230.0,-2150.0
920,2290.0,-2120.0
940,2260.0,-2120.0
960,2220.0,-2110.0
980,2180.0,-2170.0
1000,2210.0,-2070.0
1020,2200.0,-2030.0
1040,2220.0,-2070.0
1060,2220.0,-2170.0
1080,2270.0,-2150.0
1100,2200.0,-2190.0
1120,2190.0,-2080.0
1140,2220.0,-2190.0
1160,2230.0,-2150.0
1180,2220.0,-2180.0
1200,2240.0,-2090.0
1220,2220.0,-2220.0
1240,2250.0,-2170.0
1260,2260.0,-2180.0
1280,2210.0,-2130.0
1300,2210.0,-2210.0
1320,2200.0,-2100.0
1340,2260.0,-2100.0
1360,2160.0,-2140.0
1380,2180.0,-2160.0
1400,2230.0,-2150.0
1420,2240.0,-2150.0
1440,2240.0,-2140.0
1460,2170.0,-2130.0
1480,2200.0,-2240.0
1500,2180.0,-2140.0
1520,2220.0,-2230.0
1540,2260.0,-2160.0
1560,2280.0,-2080.0
1580,2250.0,-2040.0
1600,2230.0,-2130.0
1620,2250.0,-2150.0
1640,2240.0,-2220.0
1660,2200.0,-2170.0
1680,2210.0,-2160.0
1700,2220.0,-2120.0
1720,2250.0,-2080.0
1740,2200.0,-2110.0
1760,2180.0,-2190.0
1780,2260.0,-2150.0
1800,2210.0,-2120.0
1820,2260.0,-2120.0
1840,2250.0,-2140.0
1860,2290.0,-2110.0
1880,2270.0,-2190.0
1900,2290.0,-2210.0
1920,2200.0,-2270.0
1940,2190.0,-2160.0
1960,2310.0,-2110.0
1980,2260.0,-2070.0
2000,2200.0,-2210.0
2020,2180.0,-2170.0
2040,2290.0,-2100.0
2060,2270.0,-2150.0
2080,2290.0,-2130.0
2100,2180.0,-2130.0
2120,2170.0,-2100.0
2140,2210.0,-2180.0
2160,2240.0,-2200.0
2180,2180.0,-2120.0
2200,2190.0,-2170.0
2220,2260.0,-2140.0
2240,2250.0,-2240.0
2260,2200.0,-2230.0
2280,2180.0,-2200.0
2300,2190.0,-2210.0
2320,2200.0,-2150.0
2340,2260.0,-2130.0
2360,2290.0,-2130.0
2380,2210.0,-2160.0
2400,2240.0,-2150.0
2420,2230.0,-2110.0
2440,2220.0,-2110.0
2460,2130.0,-2180.0
2480,2210.0,-2130.0
2500,2250.0,-2120.0
2520,2230.0,-2140.0
2540,2160.0,-2140.0
2560,2240.0,-2080.0
2580,2190.0,-2130.0
2600,2260.0,-2080.0
2620,2240.0,-2170.0
2640,2190.0,-2090.0
2660,2120.0,-2120.0
2680,2250.0,-2150.0
2700,2190.0,-2180.0
2720,2190.0,-2170.0
2740,2220.0,-2160.0
2760,2270.0,-2130.0
2780,2250.0,-2160.0
2800,2220.0,-2210.0
2820,2300.0,-2130.0
2840,2220.0,-2110.0
2860,2270.0,-2120.0
2880,2220.0,-2110.0
