time,c1,q1,axis1_deg,c2,q2,axis2_deg,c3,q3,axis3_deg,c4,q4,axis4_deg
1120,18310.0,1.0,0.0,-15570.0,1.0,0.0,-15190.0,1.0,0.0,18100.0,1.0,0.0
1140,18190.0,1.0,0.0,-15650.0,1.0,0.0,-15100.0,1.0,0.0,18150.0,1.0,0.0
1160,18080.0,1.0,0.0,-15560.0,1.0,0.0,-15190.0,1.0,0.0,18220.0,1.0,0.0
1180,18140.0,1.0,0.0,-15510.0,1.0,0.0,-15100.0,1.0,0.0,18260.0,1.0,0.0
1200,18100.0,1.0,0.0,-15410.0,1.0,0.0,-15110.0,1.0,0.0,18120.0,1.0,0.0
1220,18240.0,1.0,0.0,-15440.0,1.0,0.0,-14920.0,1.0,0.0,18030.0,1.0,0.0
1240,18330.0,1.0,0.0,-15420.0,1.0,0.0,-14940.0,1.0,0.0,18200.0,1.0,0.0
1260,18300.0,1.0,0.0,-15360.0,1.0,0.0,-14970.0,1.0,0.0,18090.0,1.0,0.0
1280,18180.0,1.0,0.0,-15310.0,1.0,0.0,-15080.0,1.0,0.0,18160.0,1.0,0.0
1300,18160.0,1.0,0.0,-15330.0,1.0,0.0,-15080.0,1.0,0.0,18250.0,1.0,0.0
1320,18150.0,1.0,0.0,-15300.0,1.0,0.0,-14930.0,1.0,0.0,18200.0,1.0,0.0
1340,18090.0,1.0,0.0,-15300.0,1.0,0.0,-14900.0,1.0,0.0,18290.0,1.0,0.0
1360,18020.0,1.0,0.0,-15380.0,1.0,0.0,-14830.0,1.0,0.0,18080.0,1.0,0.0
1380,18070.0,1.0,0.0,-15270.0,1.0,0.0,-14870.0,1.0,0.0,18030.0,1.0,0.0
1400,18070.0,1.0,0.0,-15430.0,1.0,0.0,-15030.0,1.0,0.0,17910.0,1.0,0.0
1420,17840.0,1.0,0.0,-15610.0,1.0,0.0,-15290.0,1.0,0.0,17650.0,1.0,0.0
1440,17610.0,1.0,0.0,-15890.0,1.0,0.0,-15560.0,1.0,0.0,17370.0,1.0,0.0
1460,17330.0,1.0,0.0,-16120.0,1.0,0.0,-15840.0,1.0,0.0,17090.0,1.0,0.0
1480,17050.0,1.0,0.0,-16390.0,1.0,0.0,-16120.0,1.0,0.0,16850.0,1.0,0.0
1500,16810.0,1.0,0.0,-16640.0,1.0,0.0,-16380.0,1.0,0.0,16600.0,1.0,0.0
