time,c1,q1,axis1_deg,c2,q2,axis2_deg,c3,q3,axis3_deg,c4,q4,axis4_deg
1120,16840.0,1.0,0.0,-16810.0,1.0,0.0,-16230.0,1.0,0.0,16400.0,1.0,0.0
1140,16850.0,1.0,0.0,-16860.0,1.0,0.0,-16160.0,1.0,0.0,16590.0,1.0,0.0
1160,16920.0,1.0,0.0,-16950.0,1.0,0.0,-16140.0,1.0,0.0,16730.0,1.0,0.0
1180,16900.0,1.0,0.0,-16950.0,1.0,0.0,-15990.0,1.0,0.0,16610.0,1.0,0.0
1200,16930.0,1.0,0.0,-16940.0,1.0,0.0,-16030.0,1.0,0.0,16630.0,1.0,0.0
1220,16850.0,1.0,0.0,-16960.0,1.0,0.0,-16160.0,1.0,0.0,16580.0,1.0,0.0
1240,16850.0,1.0,0.0,-16830.0,1.0,0.0,-16130.0,1.0,0.0,16530.0,1.0,0.0
1260,16870.0,1.0,0.0,-16750.0,1.0,0.0,-16130.0,1.0,0.0,16570.0,1.0,0.0
1280,16820.0,1.0,0.0,-16770.0,1.0,0.0,-16080.0,1.0,0.0,16530.0,1.0,0.0
1300,16860.0,1.0,0.0,-16790.0,1.0,0.0,-16030.0,1.0,0.0,16460.0,1.0,0.0
1320,16920.0,1.0,0.0,-16640.0,1.0,0.0,-16060.0,1.0,0.0,16580.0,1.0,0.0
1340,16920.0,1.0,0.0,-16700.0,1.0,0.0,-15990.0,1.0,0.0,16700.0,1.0,0.0
1360,16910.0,1.0,0.0,-16790.0,1.0,0.0,-16050.0,1.0,0.0,16640.0,1.0,0.0
1380,16900.0,1.0,0.0,-16650.0,1.0,0.0,-16010.0,1.0,0.0,16600.0,1.0,0.0
1400,16770.0,1.0,0.0,-16570.0,1.0,0.0,-16150.0,1.0,0.0,16610.0,1.0,0.0
1420,16750.0,1.0,0.0,-16690.0,1.0,0.0,-16250.0,1.0,0.0,16640.0,1.0,0.0
1440,16810.0,1.0,0.0,-16670.0,1.0,0.0,-16270.0,1.0,0.0,16690.0,1.0,0.0
1460,16840.0,1.0,0.0,-16620.0,1.0,0.0,-16260.0,1.0,0.0,16530.0,1.0,0.0
1480,16970.0,1.0,0.0,-16590.0,1.0,0.0,-16200.0,1.0,0.0,16650.0,1.0,0.0
1500,16960.0,1.0,0.0,-16620.0,1.0,0.0,-16150.0,1.0,0.0,16530.0,1.0,0.0
1520,16910.0,1.0,0.0,-16640.0,1.0,0.0,-16360.0,1.0,0.0,16670.0,1.0,0.0
