time,c1,q1,axis1_deg
12000,1960.0,1.0,0.0
12020,1900.0,1.0,0.0
12040,1940.0,1.0,0.0
12060,1960.0,1.0,0.0
12080,1950.0,1.0,0.0
12100,1960.0,1.0,0.0
12120,1930.0,1.0,0.0
12140,1950.0,1.0,0.0
12160,1960.0,1.0,0.0
12180,1920.0,1.0,0.0
12200,1940.0,1.0,0.0
12220,1940.0,1.0,0.0
12240,1900.0,1.0,0.0
12260,1910.0,1.0,0.0
12280,1980.0,1.0,0.0
12300,1940.0,1.0,0.0
12320,1980.0,1.0,0.0
12340,1910.0,1.0,0.0
12360,1940.0,1.0,0.0
12380,1970.0,1.0,0.0
12400,1980.0,1.0,0.0
12420,1950.0,1.0,0.0
12440,1940.0,1.0,0.0
12460,1930.0,1.0,0.0
12480,1950.0,1.0,0.0
12500,1880.0,1.0,0.0
12520,1920.0,1.0,0.0
12540,1920.0,1.0,0.0
12560,1980.0,1.0,0.0
12580,1910.0,1.0,0.0
12600,1910.0,1.0,0.0
12620,2000.0,1.0,0.0
12640,1940.0,1.0,0.0
12660,1980.0,1.0,0.0
12680,2000.0,1.0,0.0
12700,1920.0,1.0,0.0
12720,1970.0,1.0,0.0
12740,1920.0,1.0,0.0
12760,1970.0,1.0,0.0
12780,1930.0,1.0,0.0
12800,1940.0,1.0,0.0
12820,1870.0,1.0,0.0
12840,1900.0,1.0,0.0
12860,1940.0,1.0,0.0
12880,1900.0,1.0,0.0
12900,2000.0,1.0,0.0
12920,1870.0,1.0,0.0
12940,1910.0,1.0,0.0
12960,1930.0,1.0,0.0
12980,1930.0,1.0,0.0
13000,1910.0,1.0,0.0
13020,1910.0,1.0,0.0
13040,1920.0,1.0,0.0
13060,1960.0,1.0,0.0
13080,1920.0,1.0,0.0
13100,1950.0,1.0,0.0
13120,1910.0,1.0,0.0
13140,2020.0,1.0,0.0
13160,1900.0,1.0,0.0
13180,1900.0,1.0,0.0
13200,1900.0,1.0,0.0
13220,1860.0,1.0,0.0
13240,1970.0,1.0,0.0
13260,1930.0,1.0,0.0
13280,1910.0,1.0,0.0
13300,1920.0,1.0,0.0
13320,1960.0,1.0,0.0
13340,1940.0,1.0,0.0
13360,1920.0,1.0,0.0
13380,2070.0,1.0,0.0
13400,2040.0,1.0,0.0
13420,2030.0,1.0,0.0
13440,2100.0,1.0,0.0
13460,2100.0,1.0,0.0
13480,2190.0,1.0,0.0
13500,2270.0,1.0,0.0
13520,2290.0,1.0,0.0
13540,2340.0,1.0,0.0
13560,2410.0,1.0,0.0
13580,2400.0,1.0,0.0
13600,2460.0,1.0,0.0
13620,2490.0,1.0,0.0
13640,2630.0,1.0,0.0
13660,2630.0,1.0,0.0
13680,2760.0,1.0,0.0
13700,2840.0,1.0,0.0
13720,2900.0,1.0,0.0
13740,3040.0,1.0,0.0
13760,3100.0,1.0,0.0
13780,3120.0,1.0,0.0
13800,3200.0,1.0,0.0
13820,3190.0,1.0,0.0
13840,3200.0,1.0,0.0
13860,3260.0,1.0,0.0
13880,3330.0,1.0,0.0
13900,3280.0,1.0,0.0
13920,3310.0,1.0,0.0
13940,3310.0,1.0,0.0
13960,3390.0,1.0,0.0
13980,3400.0,1.0,0.0
14000,3460.0,1.0,0.0
14020,3320.0,1.0,0.0
14040,3390.0,1.0,0.0
14060,3400.0,1.0,0.0
14080,3420.0,1.0,0.0
14100,3410.0,1.0,0.0
14120,3380.0,1.0,0.0
14140,3350.0,1.0,0.0
