time,c1,c2
0,2200.0,-2130.0
20,2180.0,-2190.0
40,2220.0,-2140.0
60,2210.0,-2130.0
80,2250.0,-2050.0
100,2250.0,-2070.0
120,2170.0,-2170.0
140,2150.0,-2120.0
160,2200.0,-2140.0
180,2210.0,-2090.0
200,2130.0,-2100.0
220,2160.0,-2100.0
240,2200.0,-2080.0
260,2190.0,-2060.0
280,2130.0,-2160.0
300,2170.0,-2100.0
320,2140.0,-2120.0
340,2120.0,-2100.0
360,2170.0,-2090.0
380,2150.0,-2120.0
400,2200.0,-2090.0
420,2260.0,-2120.0
440,2270.0,-2080.0
460,2220.0,-2150.0
480,2250.0,-2070.0
500,2270.0,-1980.0
520,2220.0,-2110.0
540,2220.0,-2040.0
560,2200.0,-2050.0
580,2240.0,-2060.0
600,2260.0,-2140.0
620,2200.0,-2130.0
640,2210.0,-2190.0
660,2310.0,-2080.0
680,2280.0,-2130.0
700,2230.0,-2090.0
720,2280.0,-2090.0
740,2290.0,-2140.0
760,2220.0,-2190.0
780,2270.0,-2100.0
800,2300.0,-2150.0
820,2260.0,-2100.0
840,2290.0,-2210.0
860,2300.0,-2080.0
880,2220.0,-2040.0
900,2220.0,-2080.0
920,2180.0,-2090.0
940,2220.0,-2040.0
960,2250.0,-2020.0
980,2180.0,-2120.0
1000,2300.0,-2040.0
1020,2260.0,-2030.0
1040,2230.0,-2050.0
1060,2270.0,-2140.0
1080,2290.0,-2090.0
1100,2240.0,-2110.0
1120,2290.0,-2080.0
1140,2320.0,-2140.0
1160,2280.0,-2070.0
1180,2360.0,-2080.0
1200,2270.0,-2050.0
1220,2200.0,-2070.0
1240,2290.0,-2030.0
1260,2280.0,-2070.0
1280,2220.0,-2030.0
1300,2200.0,-2180.0
1320,2230.0,-2170.0
1340,2190.0,-2180.0
1360,2170.0,-2090.0
1380,2160.0,-2070.0
1400,2150.0,-2050.0
1420,2120.0,-2100.0
1440,2180.0,-2110.0
1460,2210.0,-2140.0
1480,2220.0,-2190.0
1500,2280.0,-2070.0
1520,2220.0,-2090.0
1540,2280.0,-2090.0
1560,2310.0,-2080.0
1580,2300.0,-2070.0
1600,2260.0,-2070.0
1620,2240.0,-2070.0
1640,2180.0,-2110.0
1660,2230.0,-2160.0
1680,2310.0,-2210.0
1700,2280.0,-2100.0
1720,2250.0,-2110.0
1740,2200.0,-2040.0
1760,2170.0,-2110.0
1780,2190.0,-2110.0
1800,2230.0,-2090.0
1820,2260.0,-2080.0
1840,2250.0,-2140.0
1860,2230.0,-2110.0
1880,2230.0,-2140.0
1900,2190.0,-2210.0
1920,2230.0,-2220.0
1940,2220.0,-2110.0
1960,2310.0,-2080.0
1980,2250.0,-2050.0
2000,2250.0,-2230.0
2020,2220.0,-2170.0
2040,2290.0,-2200.0
2060,2340.0,-2160.0
2080,2280.0,-2160.0
2100,2240.0,-2210.0
2120,2210.0,-2240.0
2140,2220.0,-2170.0
2160,2280.0,-2180.0
2180,2290.0,-2070.0
2200,2290.0,-2080.0
2220,2310.0,-2120.0
2240,2240.0,-2120.0
2260,2250.0,-2200.0
2280,2210.0,-2160.0
2300,2260.0,-2120.0
2320,2220.0,-2110.0
2340,2230.0,-2060.0
2360,2270.0,-2090.0
2380,2240.0,-2150.0
2400,2220.0,-2140.0
2420,2150.0,-2150.0
2440,2210.0,-2150.0
2460,2190.0,-2170.0
2480,2230.0,-2120.0
2500,2190.0,-2070.0
2520,2210.0,-2060.0
2540,2250.0,-2130.0
2560,2240.0,-2100.0
2580,2300.0,-2090.0
2600,2270.0,-2020.0
2620,2240.0,-2060.0
2640,2210.0,-2060.0
2660,2160.0,-2130.0
2680,2250.0,-2150.0
2700,2230.0,-2210.0
2720,2210.0,-2180.0
2740,2220.0,-2120.0
2760,2230.0,-2160.0
2780,2230.0,-2150.0
2800,2270.0,-2150.0
2820,2320.0,-2090.0
2840,2270.0,-2090.0
2860,2280.0,-2080.0
2880,2240.0,-2120.0
2900,2260.0,-2070.0
2920,2290.0,-2030.0
2940,2270.0,-2090.0
2960,2270.0,-2090.0
2980,2200.0,-2070.0
3000,2220.0,-2200.0
3020,2210.0,-2120.0
3040,2200.0,-2090.0
3060,2100.0,-2140.0
3080,2190.0,-2130.0
3100,2200.0,-2100.0
3120,2180.0,-2110.0
3140,2160.0,-2070.0
3160,2190.0,-2110.0
3180,2240.0,-2060.0
3200,2230.0,-2100.0
3220,2210.0,-2070.0
3240,2270.0,-2100.0
3260,2300.0,-2070.0
3280,2230.0,-2080.0
3300,2190.0,-2050.0
3320,2220.0,-2110.0
3340,2290.0,-2150.0
3360,2220.0,-2160.0
3380,2280.0,-2140.0
3400,2250.0,-2130.0
3420,2260.0,-2080.0
3440,2260.0,-2090.0
3460,2250.0,-2160.0
3480,2180.0,-2090.0
3500,2220.0,-2090.0
3520,2270.0,-2170.0
3540,2280.0,-2110.0
3560,2320.0,-2120.0
3580,2280.0,-2140.0
3600,2270.0,-2050.0
3620,2210.0,-2120.0
3640,2310.0,-2090.0
3660,2260.0,-2080.0
3680,2240.0,-2110.0
3700,2180.0,-2180.0
3720,2200.0,-2120.0
3740,2180.0,-2110.0
3760,2220.0,-2060.0
3780,2230.0,-2080.0
3800,2300.0,-2100.0
3820,2240.0,-2110.0
3840,2210.0,-2140.0
3860,2230.0,-2110.0
3880,2260.0,-2110.0
3900,2230.0,-2070.0
3920,2190.0,-2030.0
3940,2210.0,-2120.0
3960,2240.0,-2160.0
3980,2200.0,-2150.0
4000,2220.0,-2080.0
4020,2160.0,-2140.0
4040,2230.0,-2110.0
4060,2210.0,-2040.0
4080,2170.0,-2110.0
4100,2110.0,-2060.0
4120,2190.0,-2120.0
4140,2240.0,-2130.0
4160,2210.0,-2160.0
4180,2220.0,-2120.0
4200,2190.0,-2140.0
4220,2180.0,-2130.0
4240,2230.0,-2190.0
4260,2180.0,-2090.0
4280,2240.0,-2060.0
4300,2270.0,-2020.0
4320,2260.0,-2100.0
4340,2280.0,-2050.0
4360,2200.0,-2100.0
4380,2280.0,-2120.0
4400,2240.0,-2140.0
4420,2270.0,-2060.0
4440,2240.0,-2120.0
4460,2240.0,-2140.0
4480,2300.0,-2130.0
4500,2260.0,-2050.0
4520,2240.0,-2120.0
4540,2210.0,-2190.0
4560,2320.0,-2180.0
4580,2270.0,-2160.0
4600,2270.0,-2220.0
4620,2280.0,-2120.0
4640,2270.0,-2110.0
4660,2180.0,-2110.0
4680,2260.0,-2090.0
4700,2250.0,-2100.0
4720,2280.0,-2060.0
4740,2270.0,-2030.0
4760,2300.0,-2100.0
4780,2290.0,-2160.0
4800,2220.0,-2110.0
4820,2310.0,-2150.0
4840,2250.0,-2080.0
4860,2220.0,-2190.0
4880,2210.0,-2110.0
4900,2230.0,-2080.0
4920,2270.0,-2100.0
4940,2300.0,-2140.0
4960,2290.0,-2090.0
4980,2270.0,-2070.0
5000,2290.0,-2100.0
5020,2270.0,-2120.0
5040,2160.0,-2100.0
5060,2150.0,-2060.0
5080,2210.0,-2080.0
5100,2240.0,-2090.0
5120,2280.0,-2130.0
5140,2210.0,-2200.0
5160,2130.0,-2090.0
5180,2190.0,-2190.0
5200,2240.0,-2170.0
5220,2210.0,-2100.0
5240,2160.0,-2130.0
5260,2130.0,-2130.0
5280,2230.0,-2120.0
5300,2250.0,-2120.0
5320,2150.0,-2090.0
5340,2260.0,-2140.0
5360,2240.0,-2060.0
5380,2280.0,-2090.0
5400,2250.0,-2110.0
5420,2280.0,-2100.0
5440,2300.0,-2060.0
5460,2300.0,-2070.0
5480,2260.0,-2080.0
5500,2330.0,-2020.0
5520,2290.0,-1990.0
5540,2250.0,-1970.0
5560,2200.0,-2080.0
5580,2190.0,-2100.0
5600,2230.0,-2140.0
5620,2260.0,-2170.0
5640,2260.0,-2140.0
5660,2260.0,-2130.0
5680,2320.0,-2100.0
5700,2230.0,-2050.0
5720,2250.0,-2090.0
5740,2210.0,-2050.0
5760,2150.0,-2070.0
5780,2230.0,-2030.0
5800,2260.0,-2140.0
5820,2170.0,-2190.0
5840,2190.0,-2110.0
5860,2250.0,-2080.0
5880,2220.0,-2110.0
5900,2280.0,-2030.0
5920,2270.0,-2030.0
5940,2220.0,-2110.0
5960,2240.0,-2170.0
5980,2340.0,-2200.0
6000,2240.0,-2060.0
6020,2250.0,-2080.0
6040,2240.0,-2140.0
6060,2230.0,-2130.0
6080,2260.0,-2090.0
6100,2320.0,-2150.0
6120,2340.0,-2100.0
6140,2230.0,-2130.0
6160,2230.0,-2170.0
6180,2310.0,-2140.0
6200,2260.0,-2060.0
6220,2240.0,-2110.0
6240,2270.0,-2070.0
6260,2340.0,-2120.0
6280,2310.0,-2090.0
6300,2230.0,-2100.0
6320,2290.0,-2090.0
6340,2270.0,-2130.0
6360,2260.0,-2100.0
6380,2240.0,-2160.0
6400,2290.0,-2080.0
6420,2310.0,-2160.0
6440,2310.0,-2080.0
6460,2290.0,-2100.0
6480,2290.0,-2130.0
6500,2270.0,-2090.0
6520,2240.0,-2080.0
6540,2240.0,-2120.0
6560,2240.0,-2140.0
6580,2190.0,-2110.0
6600,2220.0,-2130.0
6620,2200.0,-2100.0
6640,2270.0,-2150.0
6660,2230.0,-2140.0
6680,2290.0,-2080.0
6700,2210.0,-2070.0
6720,2260.0,-2130.0
6740,2270.0,-2110.0
6760,2290.0,-2090.0
6780,2310.0,-2130.0
6800,2340.0,-2110.0
6820,2280.0,-2060.0
6840,2270.0,-2090.0
6860,2280.0,-2030.0
6880,2210.0,-2130.0
6900,2260.0,-2070.0
6920,2300.0,-2100.0
6940,2360.0,-2110.0
6960,2330.0,-2180.0
6980,2260.0,-2140.0
7000,2450.0,-2290.0
7020,2400.0,-2220.0
7040,2410.0,-2270.0
7060,2380.0,-2220.0
7080,2350.0,-2260.0
7100,2390.0,-2240.0
7120,2380.0,-2280.0
7140,2470.0,-2310.0
7160,2460.0,-2400.0
7180,2470.0,-2460.0
7200,2550.0,-2450.0
7220,2570.0,-2400.0
7240,2550.0,-2440.0
7260,2580.0,-2550.0
7280,2630.0,-2590.0
7300,2580.0,-2550.0
7320,2690.0,-2600.0
7340,2700.0,-2670.0
7360,2760.0,-2670.0
7380,2790.0,-2750.0
7400,2800.0,-2760.0
7420,2820.0,-2690.0
7440,2910.0,-2700.0
7460,3010.0,-2780.0
7480,2950.0,-2730.0
7500,2930.0,-2820.0
7520,2940.0,-2800.0
7540,3020.0,-2870.0
7560,2960.0,-2890.0
7580,3000.0,-2820.0
7600,3030.0,-2890.0
7620,3030.0,-2920.0
7640,3050.0,-2970.0
7660,3000.0,-2930.0
7680,2980.0,-2840.0
7700,2980.0,-2780.0
7720,2990.0,-2910.0
7740,2920.0,-2950.0
7760,2980.0,-2920.0
7780,2950.0,-2960.0
7800,3040.0,-2850.0
7820,3060.0,-2880.0
7840,3090.0,-2950.0
7860,3080.0,-2920.0
7880,3020.0,-2900.0
7900,3050.0,-2960.0
7920,3080.0,-2980.0
7940,3060.0,-2910.0
