time,c1,q1,axis1_deg
17000,2290.0,1.0,0.0
17020,2290.0,1.0,0.0
17040,2300.0,1.0,0.0
17060,2280.0,1.0,0.0
17080,2280.0,1.0,0.0
17100,2290.0,1.0,0.0
17120,2290.0,1.0,0.0
17140,2290.0,1.0,0.0
17160,2330.0,1.0,0.0
17180,2300.0,1.0,0.0
17200,2290.0,1.0,0.0
17220,2310.0,1.0,0.0
17240,2300.0,1.0,0.0
17260,2310.0,1.0,0.0
17280,2260.0,1.0,0.0
17300,2340.0,1.0,0.0
17320,2310.0,1.0,0.0
17340,2320.0,1.0,0.0
17360,2340.0,1.0,0.0
17380,2330.0,1.0,0.0
17400,2280.0,1.0,0.0
17420,2290.0,1.0,0.0
17440,2330.0,1.0,0.0
17460,2330.0,1.0,0.0
17480,2290.0,1.0,0.0
17500,2320.0,1.0,0.0
17520,2310.0,1.0,0.0
17540,2310.0,1.0,0.0
17560,2300.0,1.0,0.0
17580,2300.0,1.0,0.0
17600,2300.0,1.0,0.0
17620,2300.0,1.0,0.0
17640,2300.0,1.0,0.0
17660,2300.0,1.0,0.0
17680,2330.0,1.0,0.0
17700,2310.0,1.0,0.0
17720,2310.0,1.0,0.0
17740,2320.0,1.0,0.0
17760,2300.0,1.0,0.0
17780,2300.0,1.0,0.0
17800,2310.0,1.0,0.0
17820,2290.0,1.0,0.0
17840,2340.0,1.0,0.0
17860,2290.0,1.0,0.0
17880,2340.0,1.0,0.0
17900,2340.0,1.0,0.0
17920,2300.0,1.0,0.0
17940,2290.0,1.0,0.0
17960,2310.0,1.0,0.0
17980,2300.0,1.0,0.0
18000,2340.0,1.0,0.0
18020,2310.0,1.0,0.0
18040,2310.0,1.0,0.0
18060,2290.0,1.0,0.0
18080,2340.0,1.0,0.0
18100,2270.0,1.0,0.0
18120,2310.0,1.0,0.0
18140,2320.0,1.0,0.0
18160,2320.0,1.0,0.0
18180,2310.0,1.0,0.0
18200,2310.0,1.0,0.0
18220,2320.0,1.0,0.0
18240,2290.0,1.0,0.0
18260,2290.0,1.0,0.0
18280,2330.0,1.0,0.0
18300,2300.0,1.0,0.0
18320,2290.0,1.0,0.0
18340,2350.0,1.0,0.0
18360,2290.0,1.0,0.0
18380,2290.0,1.0,0.0
18400,2310.0,1.0,0.0
18420,2310.0,1.0,0.0
18440,2280.0,1.0,0.0
18460,2310.0,1.0,0.0
18480,2290.0,1.0,0.0
18500,2320.0,1.0,0.0
18520,2320.0,1.0,0.0
18540,2320.0,1.0,0.0
18560,2330.0,1.0,0.0
18580,2330.0,1.0,0.0
18600,2310.0,1.0,0.0
18620,2300.0,1.0,0.0
18640,2280.0,1.0,0.0
18660,2330.0,1.0,0.0
18680,2310.0,1.0,0.0
18700,2360.0,1.0,0.0
18720,2290.0,1.0,0.0
18740,2310.0,1.0,0.0
18760,2320.0,1.0,0.0
18780,2320.0,1.0,0.0
18800,2330.0,1.0,0.0
18820,2310.0,1.0,0.0
18840,2310.0,1.0,0.0
18860,2310.0,1.0,0.0
18880,2310.0,1.0,0.0
18900,2310.0,1.0,0.0
18920,2330.0,1.0,0.0
18940,2310.0,1.0,0.0
18960,2280.0,1.0,0.0
18980,2340.0,1.0,0.0
19000,2300.0,1.0,0.0
19020,2300.0,1.0,0.0
19040,2330.0,1.0,0.0
19060,2350.0,1.0,0.0
19080,2290.0,1.0,0.0
19100,2270.0,1.0,0.0
19120,2310.0,1.0,0.0
19140,2300.0,1.0,0.0
19160,2290.0,1.0,0.0
19180,2320.0,1.0,0.0
19200,2340.0,1.0,0.0
19220,2300.0,1.0,0.0
19240,2290.0,1.0,0.0
19260,2330.0,1.0,0.0
19280,2280.0,1.0,0.0
19300,2290.0,1.0,0.0
19320,2310.0,1.0,0.0
19340,2310.0,1.0,0.0
19360,2300.0,1.0,0.0
19380,2260.0,1.0,0.0
19400,2300.0,1.0,0.0
19420,2300.0,1.0,0.0
19440,2290.0,1.0,0.0
19460,2310.0,1.0,0.0
19480,2330.0,1.0,0.0
19500,2320.0,1.0,0.0
19520,2330.0,1.0,0.0
19540,2310.0,1.0,0.0
19560,2270.0,1.0,0.0
19580,2290.0,1.0,0.0
19600,2330.0,1.0,0.0
19620,2290.0,1.0,0.0
19640,2310.0,1.0,0.0
19660,2300.0,1.0,0.0
19680,2290.0,1.0,0.0
19700,2300.0,1.0,0.0
19720,2280.0,1.0,0.0
19740,2270.0,1.0,0.0
19760,2270.0,1.0,0.0
19780,2330.0,1.0,0.0
19800,2330.0,1.0,0.0
19820,2310.0,1.0,0.0
