time,c1,q1,axis1_deg
5000,2000.0,1.0,0.0
5020,1960.0,1.0,0.0
5040,2000.0,1.0,0.0
5060,1990.0,1.0,0.0
5080,2000.0,1.0,0.0
5100,2000.0,1.0,0.0
5120,2010.0,1.0,0.0
5140,1980.0,1.0,0.0
5160,1980.0,1.0,0.0
5180,1980.0,1.0,0.0
5200,1970.0,1.0,0.0
5220,1990.0,1.0,0.0
5240,2010.0,1.0,0.0
5260,1990.0,1.0,0.0
5280,2020.0,1.0,0.0
5300,1980.0,1.0,0.0
5320,1980.0,1.0,0.0
5340,2000.0,1.0,0.0
5360,2000.0,1.0,0.0
5380,1970.0,1.0,0.0
5400,2020.0,1.0,0.0
5420,1990.0,1.0,0.0
5440,1980.0,1.0,0.0
5460,2000.0,1.0,0.0
5480,2000.0,1.0,0.0
5500,1980.0,1.0,0.0
5520,2010.0,1.0,0.0
5540,1970.0,1.0,0.0
5560,1970.0,1.0,0.0
5580,2000.0,1.0,0.0
5600,2000.0,1.0,0.0
5620,1980.0,1.0,0.0
5640,1990.0,1.0,0.0
5660,2010.0,1.0,0.0
5680,1990.0,1.0,0.0
5700,1980.0,1.0,0.0
5720,2000.0,1.0,0.0
5740,2010.0,1.0,0.0
5760,1960.0,1.0,0.0
5780,2000.0,1.0,0.0
5800,1980.0,1.0,0.0
5820,1990.0,1.0,0.0
5840,2010.0,1.0,0.0
5860,2000.0,1.0,0.0
5880,2010.0,1.0,0.0
5900,2020.0,1.0,0.0
5920,1950.0,1.0,0.0
5940,1990.0,1.0,0.0
5960,2030.0,1.0,0.0
5980,2030.0,1.0,0.0
6000,1990.0,1.0,0.0
6020,2010.0,1.0,0.0
6040,2000.0,1.0,0.0
6060,2000.0,1.0,0.0
6080,2020.0,1.0,0.0
6100,2000.0,1.0,0.0
6120,2000.0,1.0,0.0
6140,1970.0,1.0,0.0
6160,1970.0,1.0,0.0
6180,1990.0,1.0,0.0
6200,2010.0,1.0,0.0
6220,2020.0,1.0,0.0
