time,c1,q1,axis1_deg
0,2310.0,1.0,0.0
20,2330.0,1.0,0.0
40,2310.0,1.0,0.0
60,2320.0,1.0,0.0
80,2310.0,1.0,0.0
100,2280.0,1.0,0.0
120,2320.0,1.0,0.0
140,2300.0,1.0,0.0
160,2300.0,1.0,0.0
180,2290.0,1.0,0.0
200,2290.0,1.0,0.0
220,2290.0,1.0,0.0
240,2270.0,1.0,0.0
260,2300.0,1.0,0.0
280,2280.0,1.0,0.0
300,2280.0,1.0,0.0
320,2310.0,1.0,0.0
340,2330.0,1.0,0.0
360,2300.0,1.0,0.0
380,2280.0,1.0,0.0
400,2310.0,1.0,0.0
420,2300.0,1.0,0.0
440,2290.0,1.0,0.0
460,2320.0,1.0,0.0
480,2280.0,1.0,0.0
500,2310.0,1.0,0.0
520,2310.0,1.0,0.0
540,2290.0,1.0,0.0
560,2300.0,1.0,0.0
580,2280.0,1.0,0.0
600,2310.0,1.0,0.0
620,2320.0,1.0,0.0
640,2260.0,1.0,0.0
660,2280.0,1.0,0.0
680,2270.0,1.0,0.0
700,2320.0,1.0,0.0
720,2280.0,1.0,0.0
740,2310.0,1.0,0.0
760,2330.0,1.0,0.0
780,2270.0,1.0,0.0
800,2290.0,1.0,0.0
820,2300.0,1.0,0.0
840,2290.0,1.0,0.0
860,2300.0,1.0,0.0
880,2320.0,1.0,0.0
900,2270.0,1.0,0.0
920,2310.0,1.0,0.0
940,2270.0,1.0,0.0
960,2310.0,1.0,0.0
980,2310.0,1.0,0.0
1000,2300.0,1.0,0.0
1020,2270.0,1.0,0.0
1040,2310.0,1.0,0.0
1060,2310.0,1.0,0.0
1080,2290.0,1.0,0.0
1100,2300.0,1.0,0.0
1120,2280.0,1.0,0.0
1140,2330.0,1.0,0.0
1160,2280.0,1.0,0.0
1180,2300.0,1.0,0.0
1200,2300.0,1.0,0.0
1220,2330.0,1.0,0.0
1240,2290.0,1.0,0.0
1260,2310.0,1.0,0.0
1280,2270.0,1.0,0.0
1300,2230.0,1.0,0.0
1320,2280.0,1.0,0.0
1340,2310.0,1.0,0.0
1360,2290.0,1.0,0.0
1380,2310.0,1.0,0.0
1400,2290.0,1.0,0.0
1420,2280.0,1.0,0.0
1440,2330.0,1.0,0.0
1460,2290.0,1.0,0.0
1480,2280.0,1.0,0.0
1500,2340.0,1.0,0.0
1520,2300.0,1.0,0.0
1540,2290.0,1.0,0.0
1560,2260.0,1.0,0.0
1580,2330.0,1.0,0.0
1600,2260.0,1.0,0.0
1620,2260.0,1.0,0.0
1640,2280.0,1.0,0.0
1660,2310.0,1.0,0.0
1680,2310.0,1.0,0.0
1700,2290.0,1.0,0.0
1720,2290.0,1.0,0.0
1740,2300.0,1.0,0.0
1760,2290.0,1.0,0.0
1780,2300.0,1.0,0.0
1800,2270.0,1.0,0.0
1820,2330.0,1.0,0.0
1840,2270.0,1.0,0.0
1860,2300.0,1.0,0.0
1880,2260.0,1.0,0.0
1900,2260.0,1.0,0.0
1920,2270.0,1.0,0.0
1940,2280.0,1.0,0.0
1960,2260.0,1.0,0.0
1980,2310.0,1.0,0.0
2000,2300.0,1.0,0.0
2020,2320.0,1.0,0.0
2040,2270.0,1.0,0.0
2060,2310.0,1.0,0.0
2080,2270.0,1.0,0.0
2100,2280.0,1.0,0.0
2120,2280.0,1.0,0.0
2140,2290.0,1.0,0.0
2160,2290.0,1.0,0.0
2180,2320.0,1.0,0.0
2200,2290.0,1.0,0.0
2220,2310.0,1.0,0.0
2240,2280.0,1.0,0.0
2260,2300.0,1.0,0.0
2280,2330.0,1.0,0.0
2300,2270.0,1.0,0.0
2320,2290.0,1.0,0.0
2340,2320.0,1.0,0.0
2360,2280.0,1.0,0.0
2380,2260.0,1.0,0.0
2400,2300.0,1.0,0.0
2420,2300.0,1.0,0.0
2440,2260.0,1.0,0.0
2460,2310.0,1.0,0.0
2480,2250.0,1.0,0.0
2500,2290.0,1.0,0.0
2520,2260.0,1.0,0.0
2540,2290.0,1.0,0.0
2560,2250.0,1.0,0.0
2580,2300.0,1.0,0.0
2600,2300.0,1.0,0.0
2620,2290.0,1.0,0.0
2640,2260.0,1.0,0.0
2660,2300.0,1.0,0.0
2680,2290.0,1.0,0.0
2700,2310.0,1.0,0.0
2720,2310.0,1.0,0.0
2740,2280.0,1.0,0.0
2760,2280.0,1.0,0.0
2780,2320.0,1.0,0.0
2800,2300.0,1.0,0.0
2820,2280.0,1.0,0.0
2840,2260.0,1.0,0.0
2860,2300.0,1.0,0.0
2880,2300.0,1.0,0.0
2900,2280.0,1.0,0.0
2920,2270.0,1.0,0.0
2940,2260.0,1.0,0.0
2960,2280.0,1.0,0.0
2980,2320.0,1.0,0.0
3000,2300.0,1.0,0.0
3020,2260.0,1.0,0.0
3040,2300.0,1.0,0.0
3060,2280.0,1.0,0.0
3080,2300.0,1.0,0.0
3100,2290.0,1.0,0.0
3120,2290.0,1.0,0.0
3140,2320.0,1.0,0.0
3160,2260.0,1.0,0.0
3180,2270.0,1.0,0.0
3200,2290.0,1.0,0.0
3220,2350.0,1.0,0.0
3240,2330.0,1.0,0.0
3260,2300.0,1.0,0.0
3280,2310.0,1.0,0.0
3300,2330.0,1.0,0.0
3320,2300.0,1.0,0.0
3340,2290.0,1.0,0.0
3360,2320.0,1.0,0.0
3380,2280.0,1.0,0.0
3400,2270.0,1.0,0.0
3420,2310.0,1.0,0.0
3440,2330.0,1.0,0.0
3460,2300.0,1.0,0.0
3480,2300.0,1.0,0.0
3500,2290.0,1.0,0.0
3520,2300.0,1.0,0.0
3540,2290.0,1.0,0.0
3560,2310.0,1.0,0.0
3580,2260.0,1.0,0.0
3600,2270.0,1.0,0.0
3620,2270.0,1.0,0.0
3640,2310.0,1.0,0.0
3660,2290.0,1.0,0.0
3680,2290.0,1.0,0.0
3700,2310.0,1.0,0.0
3720,2330.0,1.0,0.0
3740,2290.0,1.0,0.0
3760,2320.0,1.0,0.0
3780,2340.0,1.0,0.0
3800,2280.0,1.0,0.0
3820,2300.0,1.0,0.0
3840,2300.0,1.0,0.0
3860,2290.0,1.0,0.0
3880,2350.0,1.0,0.0
3900,2320.0,1.0,0.0
3920,2310.0,1.0,0.0
3940,2290.0,1.0,0.0
3960,2290.0,1.0,0.0
3980,2320.0,1.0,0.0
4000,2240.0,1.0,0.0
4020,2260.0,1.0,0.0
4040,2290.0,1.0,0.0
4060,2290.0,1.0,0.0
4080,2270.0,1.0,0.0
4100,2280.0,1.0,0.0
4120,2290.0,1.0,0.0
4140,2290.0,1.0,0.0
4160,2280.0,1.0,0.0
4180,2270.0,1.0,0.0
4200,2310.0,1.0,0.0
4220,2260.0,1.0,0.0
4240,2280.0,1.0,0.0
4260,2270.0,1.0,0.0
4280,2300.0,1.0,0.0
4300,2290.0,1.0,0.0
4320,2270.0,1.0,0.0
4340,2300.0,1.0,0.0
4360,2300.0,1.0,0.0
4380,2300.0,1.0,0.0
4400,2280.0,1.0,0.0
