time,c1,q1,axis1_deg
12000,1940.0,1.0,0.0
12020,1950.0,1.0,0.0
12040,1950.0,1.0,0.0
12060,1960.0,1.0,0.0
12080,1950.0,1.0,0.0
12100,1910.0,1.0,0.0
12120,1930.0,1.0,0.0
12140,1910.0,1.0,0.0
12160,1970.0,1.0,0.0
12180,1920.0,1.0,0.0
12200,1940.0,1.0,0.0
12220,1940.0,1.0,0.0
12240,1920.0,1.0,0.0
12260,1930.0,1.0,0.0
12280,1950.0,1.0,0.0
12300,1990.0,1.0,0.0
12320,1970.0,1.0,0.0
12340,1910.0,1.0,0.0
12360,1940.0,1.0,0.0
12380,1940.0,1.0,0.0
12400,1950.0,1.0,0.0
12420,1920.0,1.0,0.0
12440,1940.0,1.0,0.0
12460,1960.0,1.0,0.0
12480,1940.0,1.0,0.0
12500,1960.0,1.0,0.0
12520,1880.0,1.0,0.0
12540,1920.0,1.0,0.0
12560,1950.0,1.0,0.0
12580,1900.0,1.0,0.0
12600,1940.0,1.0,0.0
12620,2000.0,1.0,0.0
12640,1940.0,1.0,0.0
12660,1930.0,1.0,0.0
12680,1900.0,1.0,0.0
12700,1920.0,1.0,0.0
12720,1960.0,1.0,0.0
12740,2000.0,1.0,0.0
12760,1980.0,1.0,0.0
12780,1910.0,1.0,0.0
12800,1940.0,1.0,0.0
12820,1890.0,1.0,0.0
12840,1930.0,1.0,0.0
12860,1920.0,1.0,0.0
12880,1910.0,1.0,0.0
12900,1950.0,1.0,0.0
12920,1920.0,1.0,0.0
12940,1960.0,1.0,0.0
12960,1920.0,1.0,0.0
12980,1930.0,1.0,0.0
13000,1910.0,1.0,0.0
13020,1890.0,1.0,0.0
13040,1950.0,1.0,0.0
13060,1950.0,1.0,0.0
13080,1960.0,1.0,0.0
13100,1970.0,1.0,0.0
13120,1940.0,1.0,0.0
13140,1950.0,1.0,0.0
13160,1930.0,1.0,0.0
13180,1940.0,1.0,0.0
13200,1930.0,1.0,0.0
13220,1900.0,1.0,0.0
13240,1940.0,1.0,0.0
13260,1950.0,1.0,0.0
13280,1870.0,1.0,0.0
13300,1920.0,1.0,0.0
13320,1970.0,1.0,0.0
13340,1920.0,1.0,0.0
13360,1920.0,1.0,0.0
13380,1990.0,1.0,0.0
13400,2000.0,1.0,0.0
13420,2010.0,1.0,0.0
13440,2100.0,1.0,0.0
13460,2100.0,1.0,0.0
13480,2170.0,1.0,0.0
13500,2270.0,1.0,0.0
13520,2310.0,1.0,0.0
